,timedate,p_demand,p_supply,q_demand,q_supply
0,2016-07-01 00:00:00,28.4,725.549,3.15789,1.68
1,2016-07-01 00:05:00,-0.335496,687.671,3.15789,1.88586
2,2016-07-01 00:10:00,19.5,686.659,3.15789,1.93733
3,2016-07-01 00:15:00,19.5,686.659,3.15789,2.14319
4,2016-07-01 00:20:00,18.813,686.857,3.15789,2.19466
5,2016-07-01 00:25:00,18.7185,686.951,3.15789,2.19466
6,2016-07-01 00:30:00,18.7615,687.004,3.15789,2.19466
7,2016-07-01 00:35:00,18.8772,687.026,3.15789,2.19466
8,2016-07-01 00:40:00,18.9749,687.042,3.15789,2.19466
9,2016-07-01 00:45:00,19.0571,687.054,3.15789,2.19466
10,2016-07-01 00:50:00,19.127,687.042,3.15789,2.19466
11,2016-07-01 00:55:00,19.1836,687.031,3.15789,2.19466
12,2016-07-01 01:00:00,19.2302,687.023,3.15789,2.19466
13,2016-07-01 01:05:00,19.1255,687.0,3.15789,2.19466
14,2016-07-01 01:10:00,19.0531,686.979,3.15789,2.19466
15,2016-07-01 01:15:00,19.0031,686.96,3.15789,2.19466
16,2016-07-01 01:20:00,18.6169,686.94,3.15789,2.19466
17,2016-07-01 01:25:00,18.3222,686.92,3.15789,2.19466
18,2016-07-01 01:30:00,18.0961,686.898,3.15789,2.19466
19,2016-07-01 01:35:00,17.1169,686.903,3.15789,2.19466
20,2016-07-01 01:40:00,16.3359,686.899,3.15789,2.19466
21,2016-07-01 01:45:00,15.7105,686.89,3.15789,2.19466
22,2016-07-01 01:50:00,14.5412,686.906,3.15789,2.19466
23,2016-07-01 01:55:00,13.585,686.912,3.15789,2.19466
24,2016-07-01 02:00:00,12.8013,686.91,3.15789,2.19466
25,2016-07-01 02:05:00,11.5191,686.935,3.15789,2.19466
26,2016-07-01 02:10:00,10.4496,686.948,3.15789,2.19466
27,2016-07-01 02:15:00,9.55651,686.953,3.15789,2.19466
28,2016-07-01 02:20:00,8.24179,686.982,3.15789,2.19466
29,2016-07-01 02:25:00,7.12798,687.0,3.15789,2.19466
30,2016-07-01 02:30:00,6.18395,687.009,3.15789,2.19466
31,2016-07-01 02:35:00,5.106,687.026,3.15789,2.19466
32,2016-07-01 02:40:00,4.18528,687.035,3.15789,2.19466
33,2016-07-01 02:45:00,3.39933,687.037,3.15789,2.19466
34,2016-07-01 02:50:00,2.2288,687.062,3.15789,2.19466
35,2016-07-01 02:55:00,1.21497,687.078,3.15789,2.19466
36,2016-07-01 03:00:00,0.337305,687.087,3.15789,2.19466
37,2016-07-01 03:05:00,-0.834578,687.114,3.15789,2.19466
38,2016-07-01 03:10:00,-1.8597,687.133,3.15789,2.19466
39,2016-07-01 03:15:00,-2.7559,687.144,3.15789,2.19466
40,2016-07-01 03:20:00,-3.8245,687.167,3.15789,2.19466
41,2016-07-01 03:25:00,-4.76522,687.182,3.15789,2.19466
42,2016-07-01 03:30:00,-5.59263,687.191,3.15789,2.19466
43,2016-07-01 03:35:00,-6.56012,687.209,3.15789,2.19466
44,2016-07-01 03:40:00,-7.41636,687.221,3.15789,2.19466
45,2016-07-01 03:45:00,-8.17324,687.227,3.15789,2.19466
46,2016-07-01 03:50:00,-9.05515,687.241,3.15789,2.19466
47,2016-07-01 03:55:00,-9.83936,687.25,3.15789,2.19466
48,2016-07-01 04:00:00,-10.5357,687.255,3.15789,2.19466
49,2016-07-01 04:05:00,-11.1793,687.256,3.15789,2.19466
50,2016-07-01 04:10:00,-11.7495,687.254,3.15789,2.19466
51,2016-07-01 04:15:00,-12.2534,687.248,3.15789,2.19466
