,timedate,mode,T_air,q_heat,q_cool
0,2016-07-01 00:00:00,COOL,76.5746,6.94683,3.21085
1,2016-07-01 00:05:00,COOL,74.2062,6.93691,3.20847
2,2016-07-01 00:10:00,COOL,72.6283,6.92452,3.20549
3,2016-07-01 00:15:00,COOL,71.6125,6.91214,3.20251
4,2016-07-01 00:20:00,COOL,73.2869,6.89978,3.19952
5,2016-07-01 00:25:00,COOL,74.1907,6.88742,3.19652
6,2016-07-01 00:30:00,COOL,72.0211,6.87508,3.19352
7,2016-07-01 00:35:00,COOL,70.5009,6.86276,3.19051
8,2016-07-01 00:40:00,COOL,72.0173,6.85044,3.1875
9,2016-07-01 00:45:00,HEAT,70.3677,6.83813,3.18448
10,2016-07-01 00:50:00,COOL,77.4075,6.82732,3.18145
11,2016-07-01 00:55:00,COOL,73.6716,6.82024,3.17842
12,2016-07-01 01:00:00,COOL,70.8895,6.81314,3.17539
13,2016-07-01 01:05:00,HEAT,69.478,6.80604,3.17235
14,2016-07-01 01:10:00,COOL,76.8733,6.79891,3.1693
15,2016-07-01 01:15:00,COOL,73.2749,6.79178,3.16625
16,2016-07-01 01:20:00,COOL,70.5391,6.78463,3.16319
17,2016-07-01 01:25:00,HEAT,69.1395,6.77747,3.16013
18,2016-07-01 01:30:00,COOL,76.5062,6.77029,3.15706
19,2016-07-01 01:35:00,COOL,72.9156,6.76311,3.15399
20,2016-07-01 01:40:00,HEAT,70.1822,6.75591,3.15091
21,2016-07-01 01:45:00,COOL,77.0733,6.7487,3.14782
22,2016-07-01 01:50:00,COOL,73.3348,6.74148,3.14473
23,2016-07-01 01:55:00,COOL,70.5497,6.73424,3.14163
24,2016-07-01 02:00:00,HEAT,69.1241,6.727,3.13853
25,2016-07-01 02:05:00,COOL,76.419,6.71974,3.13542
26,2016-07-01 02:10:00,COOL,72.832,6.71248,3.13231
27,2016-07-01 02:15:00,HEAT,70.0986,6.7052,3.12919
28,2016-07-01 02:20:00,COOL,76.9262,6.69792,3.12607
29,2016-07-01 02:25:00,COOL,73.1965,6.69062,3.12294
30,2016-07-01 02:30:00,HEAT,70.4144,6.68331,3.1198
31,2016-07-01 02:35:00,COOL,77.1957,6.676,3.11666
32,2016-07-01 02:40:00,COOL,73.4604,6.66867,3.11351
33,2016-07-01 02:45:00,COOL,70.6773,6.66134,3.11036
34,2016-07-01 02:50:00,HEAT,69.2407,6.654,3.1072
35,2016-07-01 02:55:00,COOL,76.4335,6.64664,3.10404
36,2016-07-01 03:00:00,COOL,72.8579,6.63928,3.10087
37,2016-07-01 03:05:00,HEAT,70.128,6.63192,3.0977
38,2016-07-01 03:10:00,COOL,76.8603,6.62454,3.09452
39,2016-07-01 03:15:00,COOL,73.1452,6.61716,3.09133
40,2016-07-01 03:20:00,HEAT,70.3682,6.60976,3.08814
41,2016-07-01 03:25:00,COOL,77.0542,6.60237,3.08494
42,2016-07-01 03:30:00,COOL,73.335,6.59496,3.08174
43,2016-07-01 03:35:00,COOL,70.5585,6.58755,3.07853
44,2016-07-01 03:40:00,HEAT,69.1145,6.58013,3.07532
45,2016-07-01 03:45:00,COOL,76.2073,6.5727,3.0721
46,2016-07-01 03:50:00,COOL,72.6482,6.56527,3.06888
47,2016-07-01 03:55:00,HEAT,69.9261,6.55783,3.06565
48,2016-07-01 04:00:00,COOL,76.5645,6.55038,3.06241
49,2016-07-01 04:05:00,COOL,72.8687,6.54189,3.05872
50,2016-07-01 04:10:00,HEAT,70.1003,6.53334,3.05499
51,2016-07-01 04:15:00,COOL,76.6865,6.52501,3.05136
52,2016-07-01 04:20:00,COOL,72.9902,6.51691,3.04783
53,2016-07-01 04:25:00,HEAT,70.2222,6.50904,3.04439
54,2016-07-01 04:30:00,COOL,76.7759,6.5014,3.04104
55,2016-07-01 04:35:00,COOL,73.083,6.49399,3.03779
56,2016-07-01 04:40:00,HEAT,70.3191,6.4868,3.03465
57,2016-07-01 04:45:00,COOL,76.8431,6.47985,3.03159
58,2016-07-01 04:50:00,COOL,73.1553,6.47313,3.02864
59,2016-07-01 04:55:00,HEAT,70.3934,6.46664,3.02578
60,2016-07-01 05:00:00,COOL,76.8918,6.46038,3.02303
61,2016-07-01 05:05:00,COOL,73.2089,6.45575,3.02099
62,2016-07-01 05:10:00,HEAT,70.4501,6.45143,3.01908
63,2016-07-01 05:15:00,COOL,76.9318,6.44703,3.01714
64,2016-07-01 05:20:00,COOL,73.2529,6.44254,3.01516
65,2016-07-01 05:25:00,HEAT,70.495,6.43798,3.01314
66,2016-07-01 05:30:00,COOL,76.9592,6.43334,3.01109
67,2016-07-01 05:35:00,COOL,73.2832,6.42862,3.009
68,2016-07-01 05:40:00,COOL,70.525,6.42382,3.00687
69,2016-07-01 05:45:00,HEAT,69.0671,6.41894,3.00471
70,2016-07-01 05:50:00,COOL,75.9449,6.41399,3.00251
71,2016-07-01 05:55:00,COOL,72.4231,6.40895,3.00027
72,2016-07-01 06:00:00,HEAT,69.7188,6.40383,2.99799
73,2016-07-01 06:05:00,COOL,70.8788,6.39407,2.99365
74,2016-07-01 06:10:00,COOL,71.5902,6.384,2.98916
75,2016-07-01 06:15:00,HEAT,69.2225,6.37488,2.98508
76,2016-07-01 06:20:00,HEAT,70.1739,6.36669,2.98141
77,2016-07-01 06:25:00,COOL,70.8206,6.35944,2.97816
78,2016-07-01 06:30:00,COOL,71.0394,6.35313,2.97532
79,2016-07-01 06:35:00,COOL,71.1161,6.34776,2.97291
80,2016-07-01 06:40:00,COOL,71.1457,6.34333,2.97092
81,2016-07-01 06:45:00,COOL,71.1595,6.33985,2.96935
82,2016-07-01 06:50:00,COOL,71.1682,6.33731,2.9682
83,2016-07-01 06:55:00,COOL,71.1755,6.33571,2.96748
84,2016-07-01 07:00:00,COOL,71.186,6.33505,2.96719
85,2016-07-01 07:05:00,COOL,71.2034,6.33603,2.96763
86,2016-07-01 07:10:00,COOL,71.231,6.33799,2.96851
87,2016-07-01 07:15:00,COOL,71.2666,6.34074,2.96975
88,2016-07-01 07:20:00,COOL,71.3094,6.34427,2.97134
89,2016-07-01 07:25:00,COOL,71.3591,6.34859,2.97328
90,2016-07-01 07:30:00,COOL,71.4155,6.35369,2.97558
91,2016-07-01 07:35:00,COOL,71.4786,6.35957,2.97822
92,2016-07-01 07:40:00,COOL,71.5483,6.36624,2.98121
93,2016-07-01 07:45:00,COOL,71.6247,6.3737,2.98455
94,2016-07-01 07:50:00,HEAT,69.1031,6.38193,2.98823
95,2016-07-01 07:55:00,HEAT,70.0662,6.39095,2.99225
96,2016-07-01 08:00:00,COOL,70.7836,6.40075,2.99662
97,2016-07-01 08:05:00,COOL,71.0984,6.41448,3.00273
98,2016-07-01 08:10:00,COOL,71.2862,6.42915,3.00923
99,2016-07-01 08:15:00,HEAT,68.8419,6.44389,3.01575
100,2016-07-01 08:20:00,HEAT,69.8544,6.45869,3.02228
101,2016-07-01 08:25:00,COOL,70.6168,6.47355,3.02883
102,2016-07-01 08:30:00,COOL,70.975,6.48848,3.03538
103,2016-07-01 08:35:00,COOL,71.2031,6.50348,3.04195
104,2016-07-01 08:40:00,HEAT,68.8082,6.51853,3.04853
105,2016-07-01 08:45:00,HEAT,69.8536,6.53364,3.05512
106,2016-07-01 08:50:00,COOL,70.6487,6.5488,3.06172
107,2016-07-01 08:55:00,COOL,71.0401,6.56402,3.06834
108,2016-07-01 09:00:00,HEAT,68.7264,6.57929,3.07496
109,2016-07-01 09:05:00,HEAT,69.81,6.59876,3.08339
110,2016-07-01 09:10:00,COOL,70.6329,6.61846,3.0919
111,2016-07-01 09:15:00,COOL,71.0488,6.63727,3.1
112,2016-07-01 09:20:00,HEAT,68.7704,6.65517,3.10771
